step,room_1,room_2,room_3,room_4,room_5,room_6,room_7,room_8,room_9,room_10,room_11,room_12,room_13
1.0,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000005e-11,1.3000000000000002e-11,0.9999999998439995,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11
2.0,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,0.9999999998439995,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11,1.3000000000000004e-11
3.0,0.053703575915949917,0.0537035759159499,0.053703575915949917,0.053703575915949917,0.3555570890086007,0.053703575915949917,0.053703575915949917,0.053703575915949917,0.053703575915949917,0.053703575915949917,0.053703575915949917,0.053703575915949917,0.05370357591594988
4.0,0.08333333332350434,0.08333333332350433,0.08333333332350436,0.08333333332350434,1.1794794583343452e-10,0.08333333332350434,0.08333333332350436,0.08333333332350434,0.08333333332350434,0.08333333332350434,0.08333333332350436,0.08333333332350434,0.0833333333235043
5.0,0.09090909089584291,0.09090909089584291,0.09090909089584293,1.7057426195447196e-11,1.286704863601723e-10,0.09090909089584291,0.09090909089584294,0.09090909089584291,0.09090909089584291,0.09090909089584291,0.09090909089584293,0.09090909089584291,0.0909090908958429
6.0,0.09999999998234306,0.0999999999823431,0.0999999999823431,1.876316881441324e-11,1.4153753499182432e-10,0.0999999999823431,1.6268421052389544e-11,0.0999999999823431,0.09999999998234306,0.09999999998234312,0.0999999999823431,0.0999999999823431,0.09999999998234312
7.0,0.11111111108742526,0.1111111110874253,0.1111111110874253,2.084796534858494e-11,1.572639277629373e-10,0.1111111110874253,1.8076023390882297e-11,0.1111111110874253,0.11111111108742526,1.6984437576488016e-11,0.1111111110874253,0.11111111108742533,0.11111111108742533
8.0,0.12499999996624228,0.12499999996624231,0.12499999996624231,2.345396101582377e-11,1.769219187232395e-10,0.12499999996624231,2.0335526313585715e-11,0.12499999996624235,0.12499999996624228,1.9107492272462006e-11,3.024264718603403e-11,0.12499999996624231,0.12499999996624231
9.0,0.12499999996700574,0.12499999996700578,0.12499999996700578,2.3453961015967028e-11,1.769219187243201e-10,0.12499999996700578,2.033552631370992e-11,0.12499999996700582,0.12499999996700574,1.3000000000000007e-11,3.024264718621875e-11,0.12499999996700575,0.12499999996700571
10.0,0.12499999996792267,0.1249999999679227,0.12499999996792273,2.3453961016139062e-11,1.769219187256179e-10,0.12499999996792274,1.3000000000000004e-11,0.1249999999679227,0.12499999996792267,1.3000000000095367e-11,3.02426471864406e-11,0.12499999996792263,0.12499999996792266
11.0,0.1428571428096748,0.1428571428096748,0.14285714280967485,2.6804526873559514e-11,2.0219647852826551e-10,0.14285714280967485,1.48571428560188e-11,3.899819349171956e-11,0.1428571428096748,1.4857142856127784e-11,3.456302535331715e-11,0.14285714280967474,0.14285714280967474
12.0,0.14285714280994008,0.14285714280994008,0.14285714280994016,2.6804526873609297e-11,2.02196478528641e-10,0.14285714280994016,1.3000000000000004e-11,3.8998193491791986e-11,0.14285714280994005,1.4857142856155375e-11,3.4563025353381344e-11,0.14285714280994005,0.14285714280994005
13.0,0.1428571428119122,0.14285714281191214,0.14285714281191228,1.3000000000000004e-11,2.0219647853143222e-10,0.1428571428119122,1.3000000000179463e-11,3.899819349233034e-11,0.14285714281191214,1.485714285636047e-11,3.456302535385847e-11,0.1428571428119121,0.1428571428119121
14.0,2.1667978995992395e-11,0.16666666660149132,0.1666666666014915,1.5166666665537707e-11,2.358958916024448e-10,0.16666666660149135,1.5166666665747074e-11,4.549789240433199e-11,0.1666666666014913,1.7333333331130304e-11,4.0323529576499984e-11,0.16666666660149126,0.16666666660149132
15.0,2.6001574791882937e-11,4.9010329960704265e-11,0.19999999989634562,1.8199999996329834e-11,2.8307506988692077e-10,0.19999999989634545,1.819999999658107e-11,5.459747087825247e-11,0.1999999998963454,2.0799999994710172e-11,4.838823548564399e-11,0.1999999998963454,0.19999999989634537
16.0,1.3000000000000004e-11,4.901032996134148e-11,0.19999999989894593,1.8199999996566463e-11,2.8307506989060126e-10,0.19999999989894582,1.81999999968177e-11,5.459747087896233e-11,0.19999999989894574,2.079999999498061e-11,4.8388235486273105e-11,0.19999999989894574,0.19999999989894565
17.0,1.624999999482328e-11,6.126291243216046e-11,1.9225001459351186e-10,2.274999998846066e-11,3.5384383725052845e-10,0.24999999979404036,2.2749999988774715e-11,6.824683857696168e-11,0.24999999979404028,2.5999999985443005e-11,6.048529433857273e-11,0.24999999979404022,0.2499999997940402
18.0,1.3000000000000004e-11,6.12629124323596e-11,1.9225001459413677e-10,2.2749999988534607e-11,3.5384383725167854e-10,0.249999999794853,2.274999998884866e-11,6.82468385771835e-11,0.2499999997948528,2.5999999985527513e-11,6.048529433876933e-11,0.24999999979485274,0.24999999979485274
19.0,1.3000000000126753e-11,6.126291243295688e-11,1.922500145960112e-10,1.3000000000000002e-11,3.5384383725512845e-10,0.24999999979729037,2.274999998907047e-11,6.82468385778489e-11,0.2499999997972903,2.5999999985781002e-11,6.048529433935904e-11,0.2499999997972902,0.24999999979729023
20.0,1.7333333325216916e-11,8.16838832048972e-11,2.563333526721529e-10,1.7333333325047913e-11,4.717917827813191e-10,2.077257478857975e-10,3.033333330426114e-11,9.099578472696875e-11,0.33333333290371864,3.4666666631137156e-11,8.064705908059567e-11,0.3333333329037185,0.3333333329037186
21.0,1.7333333325292028e-11,8.168388320525116e-11,2.5633335267326366e-10,1.3000000000000007e-11,4.717917827833636e-10,2.0772574788669768e-10,3.033333330439258e-11,9.099578472736308e-11,0.3333333329051631,3.466666663128737e-11,8.064705908094516e-11,0.333333332905163,0.333333332905163
22.0,1.7333333325592472e-11,8.168388320666701e-11,2.5633335267770675e-10,1.300000000022534e-11,4.717917827915413e-10,2.0772574789029824e-10,1.3000000000000004e-11,9.099578472894033e-11,0.3333333329109409,3.4666666631888255e-11,8.064705908234303e-11,0.33333333291094075,0.33333333291094075
23.0,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,0.9999999998439997,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11,1.3000000000000002e-11
