step,valence,arousal,location,action
1.0,-0.1578204264482217,4.066307740123236e-9,1.0,3.0
2.0,-0.1578204264482217,4.066307740123236e-9,4.0,4.0
3.0,-25.223875104550874,2.2521994627531168,5.0,4.0
4.0,-24.189805650003727,2.48490665230924,5.0,2.0
5.0,-22.73896845480093,2.397895275947899,4.0,3.0
6.0,-22.82597983176278,2.302585096841473,7.0,3.0
7.0,-22.92129001153626,2.1972245820119967,10.0,4.0
8.0,-23.026650527157486,2.079441547639971,11.0,2.0
9.0,-0.5429461332348282,2.079441547500832,10.0,1.0
10.0,-0.605234328951127,2.079441547333975,7.0,4.0
11.0,-23.14443356277042,1.9459101564149872,8.0,2.0
12.0,-0.29134968398699357,1.9459101563721763,7.0,1.0
13.0,-0.8814330590381765,1.9459101560586054,4.0,1.0
14.0,-23.277964955334948,1.7917594779134678,1.0,4.0
15.0,-23.43211563508777,1.6094379239901828,2.0,2.0
16.0,-0.8510196335075726,1.6094379236902325,1.0,2.0
17.0,-23.614437191767504,1.3862943794168516,3.0,4.0
18.0,-0.38096056142553536,1.3862943793402684,1.0,3.0
19.0,-0.7174288938260993,1.3862943791123719,4.0,2.0
20.0,-23.837580742776147,1.0986123172688047,6.0,4.0
21.0,-0.4454982283972626,1.098612317165599,4.0,3.0
22.0,-1.0051085257980006,1.098612316758531,7.0,2.0
23.0,1.0986122899463886,4.066307518078631e-9,9.0,2.0
